2.887699999999999989e-03,7.321000099182128906e-01,7.219000000000000417e-02,1.113200008869171143e+00
7.321000099182128906e-01,1.316749989986419678e+00,5.287499999999999839e-02,4.466200023889541626e-01
7.321000099182128906e-01,1.316749989986419678e+00,4.466200023889541626e-01,1.113200008869171143e+00
1.316749989986419678e+00,1.698100030422210693e+00,4.629599999999999688e-02,5.096750259399414062e-01
1.698100030422210693e+00,2.042050004005432129e+00,4.144599999999999673e-02,5.096750259399414062e-01
1.316749989986419678e+00,2.042050004005432129e+00,5.096750259399414062e-01,1.113200008869171143e+00
2.042050004005432129e+00,2.860599999999999810e+00,7.421400000000000219e-02,1.113200008869171143e+00
7.711199999999999652e-03,1.955350041389465332e+00,1.113200008869171143e+00,2.004200100898742676e+00
1.058599999999999985e+00,1.955350041389465332e+00,2.004200100898742676e+00,2.935799999999999965e+00
1.955350041389465332e+00,2.399150013923645020e+00,1.113200008869171143e+00,1.884299993515014648e+00
2.399150013923645020e+00,2.858200000000000074e+00,1.113200008869171143e+00,1.474749982357025146e+00
2.399150013923645020e+00,2.853800000000000114e+00,1.474749982357025146e+00,1.884299993515014648e+00
1.955350041389465332e+00,2.843999999999999861e+00,1.884299993515014648e+00,2.353049993515014648e+00
1.955350041389465332e+00,2.827999999999999847e+00,2.353049993515014648e+00,2.905100000000000016e+00
