1,13.456,13.429,14.189,13.677,13.852,13.774
1,13.159,14.774,14.776,13.451,14.411,15.119
1,13.075,14.331,14.463,13.369,14.641,14.064
1,13.027,12.357,15.22,13.238,12.935,14.668
1,13.451,14.411,15.119,13.702,14.12,15.418
1,12.77,13.97,14.917,13.075,14.331,14.463
1,13.466,14.46,14.397,13.159,14.774,14.776
1,13.238,12.935,14.668,13.456,13.429,14.189
1,12.457,13.551,15.434,12.77,13.97,14.917
2,13.702,14.12,15.418,13.934,14.527,14.929
2,14.165,14.873,14.5,14.391,15.169,14.124
2,13.756,14.807,13.591,13.997,14.414,14.038
2,13.819,14.106,14.001,13.466,14.46,14.397
2,13.907,14.505,14.154,14.122,14.18,14.539
2,13.652,14.91,13.713,13.907,14.505,14.154
2,14.122,14.18,14.539,14.305,13.92,14.877
2,13.677,13.852,13.774,13.898,14.216,13.413
2,14.117,14.53,13.099,13.756,14.807,13.591
2,13.997,14.414,14.038,14.2,14.098,14.429
2,14.225,13.703,13.587,13.819,14.106,14.001
2,13.934,14.527,14.929,14.165,14.873,14.5
2,13.898,14.216,13.413,14.117,14.53,13.099
2,14.2,14.098,14.429,14.373,13.847,14.773
3,14.692,13.244,13.157,14.225,13.703,13.587
3,15.229,12.718,12.712,14.692,13.244,13.157
3,15.217,12.106,13.092,15.229,12.718,12.712
4,14.907,14.225,15.228,15.042,14.664,14.762
4,14.601,14.772,15.47,14.77,14.505,15.756
4,14.568,12.644,16.385,14.662,13.309,15.749
4,14.611,14.193,14.69,14.769,14.599,14.267
4,14.786,14.47,15.695,14.943,14.896,15.199
4,14.52,13.649,15.076,14.662,14.133,14.597
4,14.908,14.346,14.717,15.047,14.748,14.3
4,14.778,13.871,15.197,14.908,14.346,14.717
4,14.812,14.544,14.179,14.969,14.895,13.816
4,14.595,14.785,14.542,14.765,14.474,14.908
4,14.373,13.847,14.773,14.52,13.649,15.076
4,15.042,14.664,14.762,15.184,15.036,14.355
4,14.662,14.133,14.597,14.812,14.544,14.179
4,14.77,14.505,15.756,14.93,14.928,15.257
4,14.461,13.715,15.175,14.611,14.193,14.69
4,14.305,13.92,14.877,14.461,13.715,15.175
4,14.943,14.896,15.199,15.105,15.255,14.765
4,14.619,14.735,15.405,14.786,14.47,15.695
4,14.765,14.474,14.908,14.907,14.225,15.228
4,14.806,14.901,15.518,14.964,14.629,15.806
4,14.662,13.309,15.749,14.778,13.871,15.197
4,15.047,14.748,14.3,15.193,15.089,13.936
4,14.969,14.895,13.816,14.553,15.198,14.265
5,14.187,15.467,14.688,14.422,15.063,15.072
5,14.767,15.385,14.383,14.391,15.646,14.805
5,14.399,15.103,15.141,14.601,14.772,15.47
5,14.753,15.439,15.266,14.939,15.09,15.599
5,14.391,15.169,14.124,14.595,14.785,14.542
5,14.391,15.646,14.805,14.617,15.235,15.187
5,14.617,15.235,15.187,14.806,14.901,15.518
5,14.16,15.509,14.762,14.399,15.103,15.141
5,14.905,15.625,14.453,14.529,15.867,14.88
5,14.529,15.867,14.88,14.753,15.439,15.266
5,14.422,15.063,15.072,14.619,14.735,15.405
5,14.553,15.198,14.265,14.187,15.467,14.688
6,15.095,15.286,14.819,15.261,15.589,14.435
6,15.184,15.036,14.355,15.331,15.352,13.999
6,14.931,15.763,15.582,15.133,16.035,15.154
